,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0002996439795921457,99,2000,0.7825059279029971
1,20,-2.8377488933596617,199,4000,-0.1617339106492539
2,20,7.61181525626986e-05,299,6000,-0.07319558590168035
3,20,9.040662131654109e-05,399,8000,0.1084224909030371
4,20,1.8481639881010965,499,10000,-0.09950442329089519
5,20,-0.9219701550106194,599,12000,-0.03678684342109063
6,20,0.9062245201078416,699,14000,-0.00905849091737216
7,20,-1.8049458652264219,799,16000,0.06343445489232825
8,20,0.0004299939107298423,899,18000,0.14424787486982044
9,20,0.8955393273091418,999,20000,0.17946538054128452
10,20,0.9065768467382388,1099,22000,0.13500227025129016
11,20,0.9079604394756389,1199,24000,0.1359870934217278
12,20,-0.9140411386611638,1299,26000,0.20014132341269256
13,20,-2.5333849426267818e-05,1399,28000,0.018220055553478734
14,20,0.9095610842224918,1499,30000,0.22697244701163932
15,20,-5.140250388624423e-05,1599,32000,-0.018034796572456338
16,20,1.8296780738169538e-05,1699,34000,0.22813597812841802
17,20,-0.0003933493804568755,1799,36000,0.09161610073352172
18,20,-0.00019530080215257595,1899,38000,0.31169074234118793
19,20,2.283100565114715e-05,1999,40000,0.3116807863461612
20,20,2.7019631149594048e-05,2099,42000,0.35792897292673637
21,20,0.9174970530321916,2199,44000,0.2388893303834399
22,20,-0.9187730429951114,2299,46000,0.27554490869932585
23,20,-0.9180446665271756,2399,48000,0.4228628274357645
24,20,1.3369243604621772e-05,2499,50000,0.39546873499217783
25,20,0.9229449776688965,2599,52000,0.30457832626246345
26,20,1.558136187718162e-05,2699,54000,0.35934743813957537
27,20,0.9183744131900642,2799,56000,0.4780110108973629
28,20,0.9202389593283313,2899,58000,0.2481613679604045
29,20,-0.9228747230422176,2999,60000,0.39632594436040675
30,20,1.9139757684305536e-06,3099,62000,0.4612572307623649
31,20,3.8404138625880435e-06,3199,64000,0.277061145419824
32,20,-0.9280500976825979,3299,66000,0.33374013213081677
33,20,-0.00029713092577321465,3399,68000,0.2693019435757886
34,20,1.858362132260024,3499,70000,0.3714065154655886
35,20,1.8570520241368045,3599,72000,0.5201106853341608
36,20,-1.8592683785636819,3699,74000,0.4552681006814555
37,20,0.9295016833871091,3799,76000,0.31638161742794624
38,20,5.758590527094043e-06,3899,78000,0.43718973557780527
39,20,-8.326266993430309e-06,3999,80000,0.5207403777275698
40,20,-5.278695271115907e-06,4099,82000,0.5024235337805548
41,20,-7.508787338950107e-05,4199,84000,0.5206430987830932
42,20,2.7818854691881256,4299,86000,0.43596382691108837
43,20,-3.3236195928765255e-07,4399,88000,0.574521356373021
44,20,0.9273453752758656,4499,90000,0.3335666189117978
45,20,0.926939720716998,4599,92000,0.5934831533781897
46,20,0.9272738927741109,4699,94000,0.38006533104139556
47,20,0.9257101995735519,4799,96000,0.6205997876043091
48,20,-0.9253849588986194,4899,98000,0.5648322437020612
49,20,-9.160499812366218e-06,4999,100000,0.5369608579269995
50,20,-4.236551669589694e-06,5099,102000,0.6102032104557079
51,20,0.9248113566154776,5199,104000,0.38832057374874646
52,20,0.9251845525197703,5299,106000,0.508626972474075
53,20,2.478618511769781e-06,5399,108000,0.5273214971370834
54,20,-2.3917201654621856e-05,5499,110000,0.4900985114229764
55,20,0.925291053696543,5599,112000,0.453334813240322
56,20,-1.0172161512889133e-05,5699,114000,0.4167245045397409
57,20,2.7798090996643796,5799,116000,0.49108313424568517
58,20,0.927815021111058,5899,118000,0.4821101582833581
59,20,0.9256445936189243,5999,120000,0.7042129087781757
60,20,0.926995977624656,6099,122000,0.6111946799351663
61,20,0.928045124750297,6199,124000,0.5009735728566416
62,20,6.845279221678879e-06,6299,126000,0.5658777591997692
63,20,0.9289589802100119,6399,128000,0.5568585905549042
64,20,0.9298701426162059,6499,130000,0.5204255087590005
65,20,0.9303298921879517,6599,132000,0.5765129409883535
66,20,0.9309462277613253,6699,134000,0.5862025186826948
67,20,-3.5033442147502925e-05,6799,136000,0.5120445040631824
68,20,0.9298246687940248,6899,138000,0.6510098978617475
69,20,-3.0638621930867416e-05,6999,140000,0.4837392305579437
70,20,0.9302517432030104,7099,142000,0.6790447516478187
71,20,0.9297049558984126,7199,144000,0.8181710427236842
72,20,0.0,7299,146000,0.6788219062240571
73,20,0.9306731930665787,7399,148000,0.707320560323601
74,20,-3.5091997796499186e-07,7499,150000,0.7814003267648922
75,20,-5.4333392141003856e-06,7599,152000,0.5766198297035721
76,20,0.9297638561367487,7699,154000,0.8088354479378819
77,20,1.860446501779427,7799,156000,0.5953805526468704
78,20,-2.595400222182853e-06,7899,158000,0.6419724160639859
79,20,0.9310961638970303,7999,160000,0.7633670778199502
80,20,-0.00010638265527518342,8099,162000,0.6053710274544186
81,20,1.860493407575061,8199,164000,0.6886543491600194
82,20,-3.1280026542290784e-06,8299,166000,0.7438157118254489
83,20,0.0,8399,168000,0.6968404511211841
84,20,2.4355716877755285e-06,8499,170000,0.5481770019361076
